license_number,dba,district,county_number,county_name,license_type_code,location_address,location_city,location_zip_code,long,lat,number_of_inspections,number_of_total_violations,number_of_total_violations_ranked,simple_sum_score_health,simple_sum_score_health_ranked,simple_sum_score_administrative,simple_sum_score_administrative_ranked,simple_sum_score_facility,simple_sum_score_facility_ranked,serialid
1102935,CHICK-FIL-A OAKS MALL,D5,11,Alachua,2010,6419 NEWBERRY RD G-8,GAINESVILLE,32605,,,2,4,0.3849345274,3,0.520202704,0,0.2904199145,0.5,0.2874025647,113
1150108,HOOTIE'S HOTDOGS,D5,11,Alachua,2014,210 SW 2ND AVE,GAINESVILLE,32601,,,1,0,0.029602909,0,0.0546024255,0,0.2904199145,0,0.1068257867,114
1200049,PIER 6 SEAFOOD & STEAK HOUSE,D5,12,Baker,2010,853 S 6 ST,MACCLENNY,320639653,,,2,3.3333333333,0.3225082687,2.3333333333,0.4170422236,0,0.2904199145,0.6666666667,0.3419953192,116
1200060,SUBWAY #2716,D5,12,Baker,2010,1374 S 6 ST,MACCLENNY,320638622,,,1,7,0.6371636912,3,0.520202704,0,0.2904199145,2,0.769540241,117
1200108,TACO BELL,D5,12,Baker,2010,1215 S 6 ST,MACCLENNY,320638621,,,1,1,0.0990019535,1,0.1951026092,0,0.2904199145,0,0.1068257867,118
1200113,BURGER KING,D5,12,Baker,2010,1620 S 6 ST,MACCLENNY,32063,,,1,3,0.2841724531,2,0.3567919383,0,0.2904199145,0,0.1068257867,119
1200121,CHINA DRAGON,D5,12,Baker,2010,1196 S 6 ST,MACCLENNY,32063,,,2,6.3333333333,0.5903947699,4.6666666667,0.7443376337,0,0.2904199145,0.3333333333,0.2339509874,120
1300109,HOOTERS,D6,13,Bay,2010,12709 W HWY 98,PANAMA CITY BCH,324073309,,,4,7.3333333333,0.6610703855,2.8333333333,0.475783834,0.5,0.7254695267,1.3333333333,0.6019225934,125
1300179,CAPTAIN ANDERSON'S,D6,13,Bay,2010,5551 N LAGOON DR,PANAMA CITY BCH,324087915,,,2,4,0.3849345274,3,0.520202704,1,0.9018974488,0.5,0.2874025647,127
1300206,FUNLAND LUNCH,D6,13,Bay,2010,14510 W HWY 98,PANAMA CITY BCH,32413,,,1,2,0.1845515561,1,0.1951026092,0,0.2904199145,1,0.4724956964,128
1300227,THOMAS DONUT & SNACK SHOP,D6,13,Bay,2010,19212 W HWY 98A,PANAMA CITY,32413,,,3,9.3333333333,0.7712616777,6,0.8620819713,0,0.2904199145,2.3333333333,0.8411829558,131
1300935,AZTEC VILLA APARTMENTS,D6,13,Bay,2003,3913 PIZA DR,PANAMA CITY,32405-3452,,,1,0,0.029602909,0.8333333333,0.1430339839,0,0.2904199145,0,0.1068257867,134
1301099,PIZZA HUT #2045,D6,13,Bay,2010,222 S TYNDALL PKWY,PANAMA CITY,324046723,,,2,2.5,0.233206321,1,0.1951026092,0,0.2904199145,1.5,0.6478307963,135
